lon,lat,distance,waymark
-5.7131661,50.0657918,0.0,Land’s End
-5.71309,50.06579,5.435473218934050,
-5.71301,50.06578,11.252889818751400,
-5.71296,50.06577,14.990953501302800,
-5.71291,50.06576,18.72901789438310,
-5.71289,50.06574,21.37167000059370,
-5.71288,50.0657,25.876381086836300,
-5.71288,50.06556,41.44369232025420,
-5.7128844,50.0655584,41.804644540628300,
-5.71278,50.06554,49.532211038493000,
-5.71272,50.06553,53.95685173140160,
-5.7127,50.06553,55.384398753396400,
-5.71265,50.06553,58.953266308298400,
-5.7126544,50.0655323,59.358286412532400,
-5.71261,50.06556,63.77762705511030,
-5.71258,50.0656,68.71404250154840,
-5.71256,50.06568,77.72346505272200,
-5.71253,50.06577,87.95754624615000,
-5.7125264,50.0657745,88.52004512585050,
-5.71158,50.06587,156.90073581539900,
-5.71142,50.06588,168.37503537438000,
-5.7112,50.0659,184.23463144100200,
-5.71084,50.06594,210.31237555588400,
-5.71029,50.06599,249.96130494428400,
-5.71025,50.066,253.02526292989400,
-5.70972,50.06604,291.11544955845500,
-5.70961,50.06605,299.0452224701440,
-5.70916,50.06607,331.2415732651440,
-5.7091,50.06607,335.5241661162630,
-5.70866,50.06604,367.1065238736500,
-5.70841,50.06605,384.9852818702090,
-5.70799,50.06608,415.1484642877070,
-5.70786,50.06609,424.4938008622150,
-5.70758,50.06611,444.6025746464980,
-5.70737,50.06612,459.6328235379800,
-5.7072,50.06614,471.9689348933660,
-5.7072008,50.0661372,472.285474011732,
-5.70701,50.06615,485.97827153946700,
-5.70617,50.06616,545.944775467115,
-5.7054,50.06617,600.9158555795330,
-5.70441,50.06618,671.5872312497860,
-5.7041,50.06619,693.741830218627,
-5.70373,50.06619,720.1510867283350,
-5.70261,50.06622,800.1621650074210,
-5.70259,50.06622,801.589691493481,
-5.70178,50.0662,859.4472826471560,
-5.70107,50.06619,910.1366969643240,
-5.70093,50.06618,920.1910662564680,
-5.70075,50.06619,933.0868429611750,
-5.69978,50.0663,1003.3939805806600,
-5.69939,50.06634,1031.5837888491200,
-5.69842,50.06644,1101.7058217036500,
-5.6977,50.06652,1153.8607187156200,
-5.6973,50.06657,1182.947357667360,
-5.69728,50.06657,1184.3748737365600,
-5.69706,50.0666,1200.4279673485000,
-5.69696,50.06661,1207.6516377055700,
-5.69687,50.06663,1214.4495157130100,
-5.6968,50.06665,1219.9184042243400,
-5.69672,50.06667,1226.0462464243100,
-5.69665,50.0667,1232.0538139552700,
-5.69657,50.06673,1238.6668728682400,
-5.69652,50.06676,1243.5519605485200,
-5.69648,50.06678,1247.1709215704300,
-5.69644,50.0668,1250.7898816535800,
-5.69641,50.06682,1253.8770724879200,
-5.69639,50.06683,1255.6865517081100,
-5.69636,50.06686,1259.6505034592600,
-5.69633,50.06688,1262.7376924362100,
-5.6963,50.06691,1266.70164298216,
-5.69627,50.06693,1269.788830410870,
-5.69625,50.06695,1272.4314633844700,
-5.69621,50.06699,1277.716728367690,
-5.69616,50.06705,1285.282947334240,
-5.69606,50.06721,1304.4524835254000,
-5.6959,50.06755,1343.9459426485200,
-5.69571,50.06793,1388.3228985256600,
-5.69564,50.06806,1403.6173105101200,
-5.6956,50.06814,1412.9598209881200,
-5.69556,50.06824,1424.4399828586200,
-5.69546,50.06849,1453.1403810577400,
-5.69536,50.06873,1480.7651352041400,
-5.69531,50.06882,1491.3899313811900,
-5.69528,50.06887,1497.3477400805400,
-5.69521,50.06903,1515.8271300300700,
-5.6952,50.06905,1518.1627533751800,
-5.69514,50.06921,1536.4620843909200,
-5.69513,50.06924,1539.8734338909500,
-5.69511,50.06936,1553.2929774996500,
-5.69511,50.06939,1556.628829906410,
-5.69511,50.06942,1559.964682313170,
-5.69512,50.06945,1563.376031160040,
-5.69512,50.06949,1567.8238343692800,
-5.69514,50.06958,1577.9326795909900,
-5.69516,50.06963,1583.6727500522400,
-5.69518,50.06968,1589.4128201441200,
-5.69519,50.06973,1595.018196903440,
-5.69521,50.06977,1599.6894371347200,
-5.69524,50.06984,1607.7622142935400,
-5.69525,50.06987,1611.1735618327100,
-5.69526,50.06991,1615.678263087320,
-5.69528,50.06996,1621.4183311067600,
-5.6953,50.07005,1631.5271743531200,
-5.6953,50.07037,1667.1096000270800,
-5.69529,50.07057,1689.36006524514,
-5.69526,50.07073,1707.279650312360,
